 Structure from AMSCIFDB, AMS_ID: 11639         Feff8L (EXAFS)       0.1
 Mineral Name: Tenorite
 Journal: Crystal Structures 1, pp. 85-237 (1963)
 Authors: Wyckoff R W G
 Title1:  Second edition. Interscience Publishers, New York, New York
 Formula:    CuO
 SpaceGroup: C2/
 # sites:    4
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=29 Rmt= 1.251 Rnm= 1.384 K  shell
 Pot 1 Z=29 Rmt= 1.220 Rnm= 1.310
 Pot 2 Z= 8 Rmt= 1.010 Rnm= 1.094
 Gam_ch=1.729E+00 H-L exch
 Mu= 1.441E+00 kf=2.152E+00 Vint=-1.621E+01 Rs_int= 1.685
 PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path  171      icalc       2
 -----------------------------------------------------------------------
   3   8.000   6.2637    2.2778    1.44146 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  29 Cu       absorbing atom
    -4.5895    1.7050    3.3204  1  29 Cu
    -2.2947    1.7050    0.3832  1  29 Cu
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.7098E+00  6.3124E-06 -4.9805E+00  1.002E+00  1.8974E+01  2.1528E+00
  0.100  3.7097E+00  8.2530E-03 -6.2057E+00  1.002E+00  1.8993E+01  2.1551E+00
  0.200  3.7095E+00  1.6289E-02 -7.3735E+00  1.002E+00  1.9050E+01  2.1617E+00
  0.300  3.7090E+00  2.3913E-02 -8.4857E+00  1.003E+00  1.9140E+01  2.1728E+00
  0.400  3.7081E+00  3.0970E-02 -9.5434E+00  1.003E+00  1.9256E+01  2.1881E+00
  0.500  3.7067E+00  3.7354E-02 -1.0548E+01  1.004E+00  1.9388E+01  2.2077E+00
  0.600  3.7046E+00  4.3011E-02 -1.1502E+01  1.005E+00  1.9523E+01  2.2315E+00
  0.700  3.7015E+00  4.7930E-02 -1.2407E+01  1.006E+00  1.9648E+01  2.2593E+00
  0.800  3.6973E+00  5.2136E-02 -1.3265E+01  1.008E+00  1.9747E+01  2.2910E+00
  0.900  3.6916E+00  5.5675E-02 -1.4078E+01  1.009E+00  1.9805E+01  2.3264E+00
  1.000  3.6842E+00  5.8604E-02 -1.4847E+01  1.011E+00  1.9807E+01  2.3656E+00
  1.100  3.6749E+00  6.0984E-02 -1.5574E+01  1.013E+00  1.9742E+01  2.4082E+00
  1.200  3.6633E+00  6.2871E-02 -1.6260E+01  1.015E+00  1.9600E+01  2.4543E+00
  1.300  3.6493E+00  6.4313E-02 -1.6906E+01  1.018E+00  1.9377E+01  2.5037E+00
  1.400  3.6324E+00  6.5348E-02 -1.7514E+01  1.021E+00  1.9075E+01  2.5564E+00
  1.500  3.6125E+00  6.6004E-02 -1.8084E+01  1.024E+00  1.8699E+01  2.6122E+00
